,Year,61st-65th Streets,66th-70th Streets,71st-75th Streets,76th-80th Streets,81st-90th Streets
0,2015,12.0,10.0,9.0,15,32.0
1,2016,4.0,6.0,14.0,10,33.0
2,2017,3.0,21.0,7.0,12,43.0
3,2018,4.0,8.0,12.0,20,40.0
4,2019,14.0,16.0,7.0,12,17.0
5,2021,2.0,2.0,7.0,8,25.0
6,2022,4.0,7.0,9.0,9,16.0
7,2023,1.0,,5.0,11,14.0
8,2024,2.0,,3.0,1,8.0
9,2020,,5.0,5.0,3,24.0
10,2025,,,,1,
